,temporada_alta,dif_min,atraso_15,periodo_dia
0,1,-4,0,manana
1,1,5,0,manana
2,1,-3,0,manana
3,1,-3,0,manana
4,1,13,0,manana
5,1,0,0,manana
6,1,1,0,manana
7,1,-1,0,manana
8,1,-6,0,manana
9,1,1,0,manana
10,1,-3,0,manana
11,1,18,1,manana
12,1,-11,0,manana
13,1,1,0,manana
14,1,2,0,manana
15,1,-5,0,manana
16,1,-2,0,manana
17,1,46,1,manana
18,1,-6,0,manana
19,1,-1,0,manana
20,1,5,0,manana
21,1,0,0,manana
22,1,0,0,manana
23,1,-4,0,manana
24,1,-5,0,manana
25,1,35,1,manana
26,1,-6,0,manana
27,1,10,0,manana
28,1,36,1,manana
29,1,1,0,manana
30,1,2,0,manana
31,1,14,0,manana
32,1,2,0,manana
33,1,11,0,manana
34,1,-1,0,manana
35,1,-3,0,manana
36,1,8,0,manana
37,1,-1,0,manana
38,1,-2,0,manana
39,1,3,0,manana
40,1,1,0,manana
41,1,-2,0,manana
42,1,0,0,manana
43,1,-5,0,manana
44,1,-3,0,manana
45,1,-10,0,manana
46,1,7,0,manana
47,1,0,0,manana
48,1,0,0,manana
49,1,5,0,manana
50,1,-5,0,manana
51,1,-3,0,manana
52,1,5,0,manana
53,1,0,0,manana
54,1,6,0,manana
55,1,6,0,manana
56,1,-2,0,manana
57,1,-2,0,manana
58,1,-3,0,manana
59,1,-3,0,manana
60,1,-3,0,manana
61,1,2,0,manana
62,1,0,0,manana
63,1,-5,0,manana
64,1,8,0,manana
65,1,3,0,manana
66,1,-9,0,manana
67,1,3,0,manana
68,1,-10,0,manana
69,1,-8,0,manana
70,1,12,0,manana
71,1,12,0,manana
72,1,1,0,manana
73,1,5,0,manana
74,1,1,0,manana
75,1,0,0,manana
76,1,20,1,manana
77,1,5,0,manana
78,1,9,0,manana
79,1,4,0,manana
80,1,0,0,manana
81,1,-3,0,manana
82,1,-2,0,manana
83,1,3,0,manana
84,1,-3,0,manana
85,1,10,0,manana
86,1,17,1,manana
87,1,17,1,manana
88,1,3,0,manana
89,1,1,0,manana
90,1,-7,0,manana
91,1,3,0,manana
92,1,-5,0,manana
93,1,16,1,manana
94,1,-1,0,manana
95,1,1,0,manana
96,1,3,0,manana
97,1,15,0,manana
98,1,0,0,manana
99,1,-8,0,manana
100,1,0,0,manana
101,1,11,0,manana
102,1,8,0,manana
103,1,1,0,manana
104,1,4,0,manana
105,1,8,0,manana
106,1,7,0,manana
107,1,1,0,manana
108,1,0,0,manana
109,1,7,0,manana
110,1,-3,0,manana
111,1,5,0,manana
112,1,2,0,manana
113,1,-2,0,manana
114,1,-3,0,manana
115,1,2,0,manana
116,1,-4,0,manana
117,1,1,0,manana
118,1,-2,0,manana
119,1,-4,0,manana
120,1,-8,0,manana
121,1,-1,0,manana
122,1,6,0,manana
123,1,37,1,manana
124,1,4,0,manana
125,1,3,0,manana
126,1,-2,0,manana
127,1,0,0,manana
128,1,-2,0,manana
129,1,-5,0,manana
130,1,3,0,manana
131,1,3,0,manana
132,1,5,0,manana
133,1,-1,0,manana
134,1,-6,0,manana
135,1,8,0,manana
136,1,-2,0,manana
137,1,22,1,manana
138,1,-1,0,manana
139,1,0,0,manana
140,1,1,0,manana
141,1,24,1,manana
142,1,4,0,manana
143,1,3,0,manana
144,1,0,0,manana
145,1,7,0,manana
146,1,0,0,manana
147,1,-1,0,manana
148,1,5,0,manana
149,1,9,0,manana
150,1,2,0,manana
151,1,8,0,manana
152,1,-3,0,manana
153,1,7,0,manana
154,1,3,0,manana
155,1,14,0,manana
156,1,2,0,manana
157,1,-2,0,manana
158,1,14,0,manana
159,1,-1,0,manana
160,1,10,0,manana
161,1,0,0,manana
162,1,2,0,manana
163,1,10,0,manana
164,1,-1,0,manana
165,1,16,1,manana
166,1,-2,0,manana
167,1,6,0,manana
168,1,-3,0,manana
169,1,133,1,manana
170,1,0,0,manana
171,1,0,0,manana
172,1,-2,0,manana
173,1,-1,0,manana
174,1,1,0,manana
175,1,1,0,manana
176,1,1,0,manana
177,1,1,0,manana
178,1,5,0,manana
179,1,10,0,manana
180,1,5,0,manana
181,1,2,0,manana
182,1,2,0,manana
183,1,20,1,manana
184,1,6,0,manana
185,1,-2,0,manana
186,1,11,0,manana
187,1,15,0,manana
188,1,-1,0,manana
189,1,23,1,manana
190,1,1,0,manana
191,1,5,0,manana
192,1,7,0,manana
193,1,5,0,manana
194,1,-1,0,manana
195,1,11,0,manana
196,1,-3,0,manana
197,1,5,0,manana
198,1,17,1,manana
199,1,7,0,manana
200,1,-2,0,manana
201,1,-1,0,manana
202,1,28,1,manana
203,1,17,1,manana
204,1,3,0,manana
205,1,3,0,manana
206,1,12,0,manana
207,1,-1,0,manana
208,1,7,0,manana
209,1,-2,0,manana
210,1,32,1,manana
211,1,1,0,manana
212,1,2,0,manana
213,1,14,0,manana
214,1,24,1,manana
215,1,20,1,manana
216,1,0,0,manana
217,1,6,0,manana
218,1,-2,0,manana
219,1,7,0,manana
220,1,-4,0,manana
221,1,25,1,manana
222,1,7,0,manana
223,1,10,0,manana
224,1,5,0,manana
225,1,5,0,manana
226,1,-5,0,manana
227,1,8,0,manana
228,1,-3,0,manana
229,1,-1,0,manana
230,1,2,0,manana
231,1,11,0,manana
232,1,-1,0,manana
233,1,46,1,manana
234,1,3,0,manana
235,1,12,0,manana
236,1,5,0,manana
237,1,37,1,manana
238,1,7,0,manana
239,1,34,1,manana
240,1,9,0,manana
241,1,-2,0,manana
242,1,6,0,manana
243,1,7,0,manana
244,1,11,0,manana
245,1,5,0,manana
246,1,35,1,manana
247,1,3,0,manana
248,1,30,1,manana
249,1,3,0,manana
250,1,2,0,manana
251,1,-2,0,manana
252,1,36,1,manana
253,1,2,0,manana
254,1,-1,0,manana
255,1,8,0,manana
256,1,31,1,manana
257,1,-3,0,manana
258,1,-2,0,manana
259,1,0,0,manana
260,1,-2,0,manana
261,1,8,0,manana
262,1,18,1,manana
263,1,-9,0,manana
264,1,10,0,manana
265,1,6,0,manana
266,1,5,0,manana
267,1,-5,0,manana
268,1,5,0,manana
269,1,0,0,manana
270,1,-1,0,manana
271,1,-9,0,manana
272,1,6,0,manana
273,1,4,0,manana
274,1,0,0,manana
275,1,3,0,manana
276,1,0,0,manana
277,1,14,0,manana
278,1,1,0,manana
279,1,8,0,manana
280,1,151,1,manana
281,1,1,0,manana
282,1,1,0,manana
283,1,1,0,manana
284,1,7,0,manana
285,1,2,0,manana
286,1,6,0,manana
287,1,1,0,manana
288,1,2,0,manana
289,1,-3,0,manana
290,1,-3,0,manana
291,1,1,0,manana
292,1,4,0,manana
293,1,2,0,manana
294,1,4,0,manana
295,1,10,0,manana
296,1,0,0,manana
297,1,-1,0,manana
298,1,1,0,manana
299,1,5,0,manana
300,1,13,0,manana
301,1,34,1,manana
302,1,-3,0,manana
303,1,1,0,manana
304,1,-4,0,manana
305,1,-1,0,manana
306,1,-2,0,manana
307,1,-11,0,manana
308,1,2,0,manana
309,1,-2,0,manana
310,1,-1,0,manana
311,1,2,0,manana
312,1,7,0,manana
313,1,-1,0,manana
314,1,2,0,manana
315,1,7,0,manana
316,1,18,1,manana
317,1,1,0,manana
318,1,24,1,manana
319,1,32,1,manana
320,1,0,0,manana
321,1,4,0,manana
322,1,13,0,manana
323,1,15,0,manana
324,1,40,1,manana
325,1,-2,0,manana
326,1,-1,0,manana
327,1,-4,0,manana
328,1,2,0,manana
329,1,5,0,manana
330,1,-9,0,manana
331,1,8,0,manana
332,1,-2,0,manana
333,1,-2,0,manana
334,1,5,0,manana
335,1,0,0,manana
336,1,-3,0,manana
337,1,-5,0,manana
338,1,-5,0,manana
339,1,-2,0,manana
340,1,5,0,manana
341,1,1,0,manana
342,1,18,1,manana
343,1,10,0,manana
344,1,5,0,manana
345,1,0,0,manana
346,1,8,0,manana
347,1,-5,0,manana
348,1,1,0,manana
349,1,1,0,manana
350,1,7,0,manana
351,1,17,1,manana
352,1,25,1,manana
353,1,6,0,manana
354,1,-2,0,manana
355,1,0,0,manana
356,1,-4,0,manana
357,1,75,1,manana
358,1,3,0,manana
359,1,2,0,manana
360,1,1,0,manana
361,1,44,1,manana
362,1,1,0,manana
363,1,6,0,manana
364,1,4,0,manana
365,1,13,0,manana
366,1,7,0,manana
367,1,24,1,manana
368,1,1,0,manana
369,1,3,0,manana
370,1,6,0,manana
371,1,1,0,manana
372,1,19,1,manana
373,1,-11,0,manana
374,1,10,0,manana
375,1,-2,0,manana
376,1,2,0,manana
377,1,-2,0,manana
378,1,1,0,manana
379,1,11,0,manana
380,1,107,1,manana
381,1,1,0,manana
382,1,2,0,manana
383,1,5,0,manana
384,1,-13,0,manana
385,1,7,0,manana
386,1,-4,0,manana
387,1,-7,0,manana
388,1,6,0,manana
389,1,12,0,manana
390,1,8,0,manana
391,1,7,0,manana
392,1,0,0,manana
393,1,35,1,manana
394,1,13,0,manana
395,1,-2,0,manana
396,1,-2,0,manana
397,1,-1,0,manana
398,1,0,0,manana
399,1,-3,0,manana
400,1,18,1,manana
401,1,8,0,manana
402,1,-1,0,manana
403,1,-9,0,manana
404,1,6,0,manana
405,1,20,1,manana
406,1,9,0,manana
407,1,11,0,manana
408,1,15,0,manana
409,1,-6,0,manana
410,1,-3,0,manana
411,1,11,0,manana
412,1,0,0,manana
413,1,0,0,manana
414,1,10,0,manana
415,1,3,0,manana
416,1,23,1,manana
417,1,30,1,manana
418,1,27,1,manana
419,1,2,0,manana
420,1,5,0,manana
421,1,0,0,manana
422,1,-2,0,manana
423,1,1,0,manana
424,1,10,0,manana
425,1,2,0,manana
426,1,4,0,manana
427,1,12,0,manana
428,1,1,0,manana
429,1,-1,0,manana
430,1,40,1,manana
431,1,27,1,manana
432,1,-2,0,manana
433,1,9,0,manana
434,1,-5,0,manana
435,1,1,0,manana
436,1,5,0,manana
437,1,6,0,manana
438,1,17,1,manana
439,1,-1,0,manana
440,1,16,1,manana
441,1,-10,0,manana
442,1,2,0,manana
443,1,8,0,manana
444,1,1,0,manana
445,1,5,0,manana
446,1,4,0,manana
447,1,29,1,manana
448,1,1,0,manana
449,1,6,0,manana
450,1,-10,0,manana
451,1,3,0,manana
452,1,-6,0,manana
453,1,-2,0,manana
454,1,-1,0,manana
455,1,-6,0,manana
456,1,11,0,manana
457,1,8,0,manana
458,1,1,0,manana
459,1,3,0,manana
460,1,24,1,manana
461,1,6,0,manana
462,1,-5,0,manana
463,1,0,0,manana
464,1,-5,0,manana
465,1,2,0,manana
466,1,-6,0,manana
467,1,1,0,manana
468,1,7,0,manana
469,1,-7,0,manana
470,1,1,0,manana
471,1,1,0,manana
472,1,2,0,manana
473,1,0,0,manana
474,1,3,0,manana
475,1,0,0,manana
476,1,-1,0,manana
477,1,6,0,manana
478,1,11,0,manana
479,1,-6,0,manana
480,1,-3,0,manana
481,1,1,0,manana
482,1,1,0,manana
483,1,2,0,manana
484,1,6,0,manana
485,1,0,0,manana
486,1,0,0,manana
487,1,16,1,manana
488,1,-7,0,manana
489,1,-2,0,manana
490,1,13,0,manana
491,1,-3,0,manana
492,1,32,1,manana
493,1,4,0,manana
494,1,3,0,manana
495,1,-3,0,manana
496,1,2,0,manana
497,1,5,0,manana
498,1,159,1,manana
499,1,3,0,manana
500,1,27,1,manana
501,1,-4,0,manana
502,1,2,0,manana
503,1,12,0,manana
504,1,5,0,manana
505,1,7,0,manana
506,1,7,0,manana
507,1,3,0,manana
508,1,9,0,manana
509,1,0,0,manana
510,1,31,1,manana
511,1,39,1,manana
512,1,3,0,manana
513,1,9,0,manana
514,1,3,0,manana
515,1,15,0,manana
516,1,6,0,manana
517,1,2,0,manana
518,1,0,0,manana
519,1,5,0,manana
520,1,46,1,manana
521,1,2,0,manana
522,1,-1,0,manana
523,1,1,0,manana
524,1,7,0,manana
525,1,-4,0,manana
526,1,-1,0,manana
527,1,21,1,manana
528,1,6,0,manana
529,1,3,0,manana
530,1,4,0,manana
531,1,15,0,manana
532,1,-2,0,manana
533,1,27,1,manana
534,1,7,0,manana
535,1,-8,0,manana
536,1,0,0,manana
537,1,-8,0,manana
538,1,11,0,manana
539,1,2,0,manana
540,1,1,0,manana
541,1,10,0,manana
542,1,10,0,manana
543,1,30,1,manana
544,1,-2,0,manana
545,1,-7,0,manana
546,1,-9,0,manana
547,1,4,0,manana
548,1,2,0,manana
549,1,-6,0,manana
550,1,12,0,manana
551,1,22,1,manana
552,1,1,0,manana
553,1,14,0,manana
554,1,1,0,manana
555,1,0,0,manana
556,1,12,0,manana
557,1,-3,0,manana
558,1,-1,0,manana
559,1,6,0,manana
560,1,-2,0,manana
561,1,-2,0,manana
562,1,4,0,manana
563,1,6,0,manana
564,1,4,0,manana
565,1,3,0,manana
566,1,12,0,manana
567,1,-2,0,manana
568,1,-3,0,manana
569,1,2,0,manana
570,1,-1,0,manana
571,1,3,0,manana
572,1,0,0,manana
573,1,1,0,manana
574,1,0,0,manana
575,1,9,0,manana
576,1,-1,0,manana
577,1,-3,0,manana
578,1,2,0,manana
579,1,1,0,manana
580,1,8,0,manana
581,1,-4,0,manana
582,1,-1,0,manana
583,1,1,0,manana
584,1,-3,0,manana
585,1,8,0,manana
586,1,6,0,manana
587,1,15,0,manana
588,1,-1,0,manana
589,1,2,0,manana
590,1,12,0,manana
591,1,2,0,manana
592,1,6,0,manana
593,1,1,0,manana
594,1,3,0,manana
595,1,2,0,manana
596,1,20,1,manana
597,1,-1,0,manana
598,1,8,0,manana
599,1,14,0,manana
600,1,0,0,manana
601,1,1,0,manana
602,1,12,0,manana
603,1,6,0,manana
604,1,-3,0,manana
605,1,0,0,manana
606,1,17,1,manana
607,1,-5,0,manana
608,1,79,1,manana
609,1,1,0,manana
610,1,-12,0,manana
611,1,-4,0,manana
612,1,-2,0,manana
613,1,-1,0,manana
614,1,-4,0,manana
615,1,-10,0,manana
616,1,0,0,manana
617,1,15,0,manana
618,1,-1,0,manana
619,1,-1,0,manana
620,1,4,0,manana
621,1,3,0,manana
622,1,-1,0,manana
623,1,32,1,manana
624,1,4,0,manana
625,1,7,0,manana
626,1,-2,0,manana
627,1,11,0,manana
628,1,-1,0,manana
629,1,1,0,manana
630,1,10,0,manana
631,1,-4,0,manana
632,1,-4,0,manana
633,1,-2,0,manana
634,1,5,0,manana
635,1,4,0,manana
636,1,-2,0,manana
637,1,18,1,manana
638,1,2,0,manana
639,1,5,0,manana
640,1,0,0,manana
641,1,-3,0,manana
642,1,2,0,manana
643,1,0,0,manana
644,1,-5,0,manana
645,1,15,0,manana
646,1,3,0,manana
647,1,-2,0,manana
648,1,1,0,manana
649,1,7,0,manana
650,1,15,0,manana
651,1,-1,0,manana
652,1,-4,0,manana
653,1,-3,0,manana
654,1,1,0,manana
655,1,7,0,manana
656,1,-3,0,manana
657,1,14,0,manana
658,1,148,1,manana
659,1,1,0,manana
660,1,-4,0,manana
661,1,1,0,manana
662,1,-5,0,manana
663,1,7,0,manana
664,1,-1,0,manana
665,1,-2,0,manana
666,1,8,0,manana
667,1,6,0,manana
668,1,-1,0,manana
669,1,-1,0,manana
670,1,4,0,manana
671,1,3,0,manana
672,1,18,1,manana
673,1,1,0,manana
674,1,-2,0,manana
675,1,7,0,manana
676,1,-1,0,manana
677,1,-4,0,manana
678,1,-1,0,manana
679,1,-4,0,manana
680,1,-10,0,manana
681,1,-7,0,manana
682,1,-4,0,manana
683,1,-3,0,manana
684,1,-13,0,manana
685,1,-3,0,manana
686,1,0,0,manana
687,1,-5,0,manana
688,1,0,0,manana
689,1,3,0,manana
690,1,1,0,manana
691,1,5,0,manana
692,1,-1,0,manana
693,1,4,0,manana
694,1,6,0,manana
695,1,3,0,manana
696,1,2,0,manana
697,1,7,0,manana
698,1,-5,0,manana
699,1,9,0,manana
700,1,-5,0,manana
701,1,-4,0,manana
702,1,8,0,manana
703,1,3,0,manana
704,1,4,0,manana
705,1,-2,0,manana
706,1,-2,0,manana
707,1,4,0,manana
708,1,-1,0,manana
709,1,-1,0,manana
710,1,10,0,manana
